,,,,,,,,,,
,Date,Location,Alloggio /  / tipo di trasporto,Costi,Comments,Valuta,Payment app / cash,Internet ,Passaporto CH,Passaporto COL
,04-09.11,Tokyo,Fare Metallo ?,369 chf,da pagare entro il 19.10,"Yen, 198 JPY = 1 chf","Revolut o cash --> Sì, una quota media. 
Ristoranti tradizionali, templi, ricariche 
delle carte IC (Suica/Pasmo) e piccoli 
negozi richiedono spesso contanti.",Revolut/Holafly/Airalo,"No visto, compilare 
https://www.vjw.digital.go.jp/main/#/vjwplo001","Visto a Berna, compilare 
https://www.vjw.digital.go.jp/main/#/vjwplo001"
,09.11,,treno,ca. 70 chf,,,,,,
,09-12.11,Kyoto,Onyado ?,419 chf,Pagamento in alloggio,,,,,
,12.11,,treno,ca. 5 chf,,,,,,
,12-16.11,Osaka,FDS Azur,172 chf / 34.000 Y,Riservato - Pagamento visa il 6.11 / cxl gratis fino al 8.11,,,,,
,16.11,,treno,ca. 60 chf,,,,,,
,16-19.11,Hiroshima,Mercure ?,253 chf ,Non rimborsabile,,,,,
,19.11,,treno,ca. 60 chf,,,,,,
,19-22.11,Fukuoka,Base ?,281 chf,Non rimborsabile,,,,,
,22.11,,volo,ca. 150 chf,,,,,,
,22-27.11,Seoul,airbnb,526 chf,Pagamento visa il 9.11 ,"Won, 1.730 KRW = 1 chf","Sì, una piccola quota. La carta si usa 
quasi ovunque, ma il contante serve 
per ricaricare la carta dei trasporti 
(T-Money) e nei mercati di strada.",Con E-SIM funziona internet,"No visto, compilare l'e-card 
https://www.e-arrivalcard.go.kr/portal/main/index.do","No visto, ma k-eta obbligatorio: 
https://www.k-eta.go.kr/portal/newapply/index.do"
,27.11,,volo,ca. 100 chf,,,,,,
,27.11-03.12,Beijing,base-Beijing Sanlitun Serviced Apartment,"335 chf / 2.812,92 CNY",Riservato - Pagamento visa? / cxl gratis fino al 27.11,"Yuan, 8.4 CNY = 1 chf","No cash. Devi collegare la tua carta Revolut 
alle app Alipay e WeChat Pay. Una volta 
collegate, pagherai in Cina semplicemente 
mostrando o scansionando i QR code tramite
Alipay/WeChat Pay, ed i soldi verranno scalati 
direttamente dal tuo conto Revolut.",Revolut/Holafly/Airalo,"No visto,  arrival card
https://s.nia.gov.cn/ArrivalCardFillingPhone/service-instruction","Visto visaforchina.cn,
arrival card
https://s.nia.gov.cn/ArrivalCardFillingPhone/service-instruction"
,3.12,,treno www.trip.com,ca. 70 chf, da riservare a fine settembre,,,,,
,03.12-05.12,Xi'an,,,,,,,,
,05.12,,treno www.trip.com,ca. 90 chf, da riservare a fine settembre,,,,,
,05.12-10.12,Shanghai,Sidihome Selected City Apartment,217 chf / 1807 CNY,Riservato - Pagamento visa? / cxl gratis fino al 01.12,,,,,
,10.12,,treno www.trip.com,ca. 70 chf, da riservare a fine settembre,,,,,
,10-14.12,Chongqing,,,,,,,,
,14.12,,treno www.trip.com,ca. 30 chf, da riservare a fine settembre,,,,,
,14-17.12,Zhangjiajie /  Wu Lingyuan,XMAN Sunrise Peaks Resort,160 chf / 1.340 CNY,Riservato - Pagamento in alloggio / cxl gratis,,,,,
,17.12,,treno www.trip.com,ca. 90 chf, da riservare a fine settembre,,,,,
,17-22.12,Hongkong,iclub ?,515 chf,Non rimborsabile,"Dollaro, 9.8 HKD = 1 chf","Octopus Card per trasporti, minimarket ecc",Revolut/Holafly/Airalo,"No visto, no arrival card","No visto, no arrival card"
,22.12,,volo,ca. 100 chf,,,,,,
,22-28.12,Bohol/Panglao,Moana,323 chf,Riservato - Pagamento visa il 5.12,"Peso, 77 PHP = 1 chf","Sì, una quota alta. Fuori dai grandi centri 
e sulle isole (es. el Nido, Bohol, Siargao) 
per tricicli, tour e piccolissimi locali serve 
contante.",Revolut/Holafly/Airalo,"No visto, compilare l'e-card
https://etravel.gov.ph/","No visto, compilare l'e-card
https://etravel.gov.ph/"
,28.12,,volo,ca. 50 chf,,,,,,
,28-30.12,Manila,City Garden Hotel ?,133 chf,cxl gratis fino al 24.12,,,,,
,30.12,,volo,ca. 150 chf,,,,,,
