,,,,,,,,
,,,,,,Valuta,Payment app / cash,Internet
,04-09.11,Tokyo,Fare Metallo ?,369 chf,,"Yen, 198 JPY = 1 chf","Revolut o cash --> Sì, una quota media. 
Ristoranti tradizionali, templi, ricariche 
delle carte IC (Suica/Pasmo) e piccoli 
negozi richiedono spesso contanti.",
,09.11,treno,,ca. 70 chf,,,,
,09-12.11,Kyoto,Onyado ?,277 chf,,,,
,12.11,treno,,ca. 5 chf,,,,
,12-16.11,Osaka,,,,,,
,16.11,treno,,,,,,
,16-19.11,Hiroshima,FDS Azur,161 chf / 31.940  Y,Pagamento caricato su VISA il 7.11 / cxl gratis fino al 9.11,,,
,19.11,treno,,ca. 200 chf,,,,
,19-22.11,Fukuoka,,,,,,
,22.11,volo,,,,,,
,22-27.11,Seoul,app ?,378 chf,,"Won, 1.730 KRW = 1 chf",,
,27.11,volo,,ca. 100 chf,,,,
,27.11-02.12,Beijing,base-Beijing Sanlitun Serviced Apartment,"282 chf / 2.366,18 CNY",Pagamento con VISA? / cxl gratis fino al 22.11,"Yuan, 8.4 CNY = 1 chf",,
,2.12,treno,www.trip.com,ca. 80 chf, da riservare a fine settembre,,,
,02-07.12,Shanghai,Sidihome Selected City Apartment,"225,53 chf / 1.892,36 CNY",Pagamento con VISA? / cxl gratis fino al 25.11,,,
,07.12,treno,www.trip.com,ca. 100 chf, da riservare a fine settembre,,,
,07-10.12,Zhangjiajie ,XMAN Sunrise Peaks Resort,"109,40 chf / 917,95 CNY",Pagamento in alloggio / cxl gratis,,,
,12.12,treno,www.trip.com,ca. 50 chf, da riservare a fine settembre,,,
,12-15.12,Guilin,Riverside Inn Guilin Central,"119,70 chf / 1.0004,37 CNY",Pagamento in alloggio / cxl gratis fino al 02.12,,,
,15.12,treno,www.trip.com,ca. 60 chf, da riservare a fine settembre,,,
,15-17.12,Shenzen,,,,,,
,17.12,treno,,,,,,
,17-22.12,Hongkong,99 Bonham?,535 chf ,,,,
,22.12,volo,,ca. 100 chf,,,,
,22-28.12,Bohol/Panglao,Air Residence Makati ? Moana ?,86 chf,,,,
,28.12,volo,,ca. 50 chf,,,,
,28-30.12,Manila,City Garden Hotel ?,74 chf,,,,
,30.12,volo,,ca. 300 chf,,,,
,30.12-03.01,Bkk,Somerset Ekamai,"290,26 chf / 11.847,60 THB",Pagamento con VISA il 27.12 / cxl gratis fino al 29.12,,,
,03.01,bus + ferry,https://boonsiriferry.com/,ca. 40 chf / 1700 THB,,,,
,03-09.01,Ko Chang,Kae Beaxh resort,657 chf /26.784 THB,Pagamento con VISA il 28.12 / cxl gratis fino al 30.12,,,
,09.01,ferry + bus,https://boonsiriferry.com/,,,,,
,09-11.01,Bkk,grandre centre point ?,254 chf ,,,,
,,,hotel per 2 ,4'957.63,,,,
,,,trasporti per 1,1310 chf ,,,,
